	0	1	2
0	sillok\2nd_waa_101.xml	1392-07-17L0	《書》
1	sillok\2nd_waa_101.xml	1392-09-21L0	《大學衍義》
2	sillok\2nd_waa_101.xml	1392-09-27L0	《大學衍義》
3	sillok\2nd_waa_101.xml	1392-10-02L0	《大學衍義》
4	sillok\2nd_waa_101.xml	1392-10-05L0	《大學衍義》
5	sillok\2nd_waa_101.xml	1392-11-12L0	《大學衍義》
6	sillok\2nd_waa_101.xml	1392-11-17L0	《書》
7	sillok\2nd_waa_101.xml	1392-11-17L0	《書》
8	sillok\2nd_waa_101.xml	1392-11-25L0	《大學衍義》
9	sillok\2nd_waa_101.xml	1392-12-04L1	《大藏經》
10	sillok\2nd_waa_102.xml	1393-01-01L0	《歷代帝王爲學爲治綱目之圖》
11	sillok\2nd_waa_102.xml	1393-01-01L0	《師尙父奉丹書戒武王之圖》
12	sillok\2nd_waa_102.xml	1393-01-01L0	《大學衍義》
13	sillok\2nd_waa_102.xml	1393-01-29L0	《鄕藥惠民經驗方》
14	sillok\2nd_waa_102.xml	1393-02-27L0	《神衆經》
15	sillok\2nd_waa_102.xml	1393-02-27L0	《消災呪》
16	sillok\2nd_waa_102.xml	1393-06-24L0	《讀李斯傳詩》
17	sillok\2nd_waa_102.xml	1393-08-20L0	《四時蒐狩圖》
18	sillok\2nd_waa_102.xml	1393-09-17L0	《霍光傳》
19	sillok\2nd_waa_102.xml	1393-09-17L0	《桐軒集》
20	sillok\2nd_waa_102.xml	1393-10-17L0	《大藏經》
21	sillok\2nd_waa_102.xml	1393-10-17L0	《大藏經》
22	sillok\2nd_waa_102.xml	1393-10-27L0	《文德》
23	sillok\2nd_waa_102.xml	1393-10-27L0	《武功》
24	sillok\2nd_waa_102.xml	1393-10-27L0	《夢金尺》
25	sillok\2nd_waa_102.xml	1393-10-27L0	《受寶籙》
26	sillok\2nd_waa_102.xml	1393-11-02L0	《大學衍義》
27	sillok\2nd_waa_103.xml	1394-02-16L0	《秘錄撮要》
28	sillok\2nd_waa_103.xml	1394-02-18L0	《地理秘錄撮要》
29	sillok\2nd_waa_103.xml	1394-02-21L0	《春秋》
30	sillok\2nd_waa_103.xml	1394-02-21L0	《春秋》
31	sillok\2nd_waa_103.xml	1394-03-11L0	《五軍陣圖》
32	sillok\2nd_waa_103.xml	1394-04-29L0	《華嚴三昧懺》
33	sillok\2nd_waa_103.xml	1394-05-23L0	《大學》
34	sillok\2nd_waa_103.xml	1394-05-30L0	《朝鮮經國典》
35	sillok\2nd_waa_103.xml	1394-07-17L0	《法華經》
36	sillok\2nd_waa_103.xml	1394-08-07L0	《大學衍義》
37	sillok\2nd_waa_103.xml	1394-08-12L0	《書》
38	sillok\2nd_waa_103.xml	1394-08-24L0	《大學衍義》
39	sillok\2nd_waa_103.xml	1394-09-15L0	《法華經》
40	sillok\2nd_waa_103.xml	1394-10-11L0	《法華經》
41	sillok\2nd_waa_103.xml	1394-12-26L0	《大藏經》
42	sillok\2nd_waa_104.xml	1395-01-25L0	《高麗史》
43	sillok\2nd_waa_104.xml	1395-03-13L0	《孟子》
44	sillok\2nd_waa_104.xml	1395-04-01L0	《蒐狩圖》
45	sillok\2nd_waa_104.xml	1395-04-01L0	《陣圖》
46	sillok\2nd_waa_104.xml	1395-04-17L0	《楞嚴》
47	sillok\2nd_waa_104.xml	1395-06-06L0	《經濟文鑑》
48	sillok\2nd_waa_104.xml	1395-09-04L0	《貞觀政要》
49	sillok\2nd_waa_104.xml	1395-10-05L0	《天監》
50	sillok\2nd_waa_104.xml	1395-10-05L0	《華山》
51	sillok\2nd_waa_104.xml	1395-10-05L0	《新廟》
52	sillok\2nd_waa_104.xml	1395-10-17L0	《金經》
53	sillok\2nd_waa_104.xml	1395-10-30L0	《文德曲》
54	sillok\2nd_waa_104.xml	1395-12-25L0	《文德》
55	sillok\2nd_waa_104.xml	1395-12-25L0	《武功》
56	sillok\2nd_waa_105.xml	1396-01-17L0	《大般若》
57	sillok\2nd_waa_105.xml	1396-02-22L0	《菩提樹葉經》
58	sillok\2nd_waa_105.xml	1396-03-29L0	《大藏經》
59	sillok\2nd_waa_105.xml	1396-04-29L0	《金經》
60	sillok\2nd_waa_105.xml	1396-10-11L0	《金經》
61	sillok\2nd_waa_106.xml	1397-02-11L0	《大明律》
62	sillok\2nd_waa_106.xml	1397-06-14L0	《五陣圖》
63	sillok\2nd_waa_106.xml	1397-06-14L0	《蒐狩圖》
64	sillok\2nd_waa_106.xml	1397-06-14L0	《陣圖》
65	sillok\2nd_waa_106.xml	1397-08-09L0	《陣圖》
66	sillok\2nd_waa_106.xml	1397-08-14L0	《洪範》
67	sillok\2nd_waa_106.xml	1397-09-08L0	《洪範》
68	sillok\2nd_waa_106.xml	1397-10-13L0	《周禮》
69	sillok\2nd_waa_106.xml	1397-10-13L0	《周禮》
70	sillok\2nd_waa_106.xml	1397-11-07L0	《金經》
71	sillok\2nd_waa_106.xml	1397-11-30L0	《高麗國史》
72	sillok\2nd_waa_106.xml	1397-12-26L0	《經濟六典》
73	sillok\2nd_waa_106.xml	1397-12-29L0	《大藏經》
74	sillok\2nd_waa_107.xml	1398-01-07L0	《華嚴三昧懺》
75	sillok\2nd_waa_107.xml	1398-03-07L0	《綱目通鑑》
76	sillok\2nd_waa_107.xml	1398-05-03L0	《雲雨經》
77	sillok\2nd_waa_107.xml	1398-05-03L0	《經》
78	sillok\2nd_waa_107.xml	1398-05-10L0	《大藏經》
79	sillok\2nd_waa_107.xml	1398-05-28L1	《陣圖》
80	sillok\2nd_waa_107.xml	1398-05-29L1	《陣圖》
81	sillok\2nd_waa_107.xml	1398-06-24L0	《陣圖》
82	sillok\2nd_waa_107.xml	1398-07-25L0	《陣圖》
83	sillok\2nd_waa_107.xml	1398-07-27L0	《陣圖》
84	sillok\2nd_waa_107.xml	1398-08-01L0	《陣圖》
85	sillok\2nd_waa_107.xml	1398-08-04L0	陣圖
86	sillok\2nd_waa_107.xml	1398-08-07L0	《陣圖》
87	sillok\2nd_waa_107.xml	1398-08-07L0	《陣圖》
88	sillok\2nd_waa_107.xml	1398-08-07L0	《陣圖》
89	sillok\2nd_waa_107.xml	1398-08-09L0	《陣圖》
90	sillok\2nd_waa_107.xml	1398-08-09L0	《陣圖》
91	sillok\2nd_waa_107.xml	1398-08-09L0	《陣圖》
92	sillok\2nd_waa_107.xml	1398-08-13L0	《金經》
93	sillok\2nd_waa_107.xml	1398-08-26L0	《胗脈圖訣
94	sillok\2nd_waa_107.xml	1398-08-26L0	《陣圖》
95	sillok\2nd_waa_107.xml	1398-08-26L0	《蒐狩圖》
96	sillok\2nd_waa_107.xml	1398-08-26L0	《經國典》
97	sillok\2nd_waa_107.xml	1398-08-26L0	《經濟文鑑》
98	sillok\2nd_waa_107.xml	1398-08-26L0	《夢金尺》
99	sillok\2nd_waa_107.xml	1398-08-26L0	《受寶籙》
100	sillok\2nd_waa_107.xml	1398-08-26L0	《文德》
101	sillok\2nd_waa_107.xml	1398-08-26L0	《納氏》
102	sillok\2nd_waa_107.xml	1398-08-26L0	《靖東方》
103	sillok\2nd_waa_107.xml	1398-08-26L0	《高麗國史》
104	sillok\2nd_waa_107.xml	1398-08-26L0	《高麗史》
105	sillok\2nd_waa_107.xml	1398-10-05L0	《貞觀政要》
106	sillok\2nd_waa_107.xml	1398-11-11L0	《大學》
107	sillok\2nd_waa_107.xml	1398-12-09L0	《論語》
108	sillok\2nd_waa_107.xml	1398-12-15L0	《記》
109	sillok\2nd_waa_107.xml	1398-12-15L0	《時享陳設圖》
110	sillok\2nd_waa_107.xml	1398-12-17L0	《四書切要
111	sillok\2nd_waa_107.xml	1398-12-22L0	《大統曆》
112	sillok\2nd_waa_107.xml	1398-12-29L0	《六典》
113	sillok\2nd_waa_107.xml	1398-12-29L0	《大藏經》
114	sillok\2nd_wba_101.xml	1399-01-01L0	《欹器圖》
115	sillok\2nd_wba_101.xml	1399-01-01L0	《歷年圖》
116	sillok\2nd_wba_101.xml	1399-01-01L0	《無逸圖》
117	sillok\2nd_wba_101.xml	1399-01-03L0	《欹器圖》
118	sillok\2nd_wba_101.xml	1399-01-03L0	《華嚴經》
119	sillok\2nd_wba_101.xml	1399-01-07L0	《論語》
120	sillok\2nd_wba_101.xml	1399-01-09L0	《論語》
121	sillok\2nd_wba_101.xml	1399-01-09L0	《大藏經》
122	sillok\2nd_wba_101.xml	1399-01-19L0	《高麗史》
123	sillok\2nd_wba_101.xml	1399-01-19L0	《高麗史》
124	sillok\2nd_wba_101.xml	1399-01-19L0	《論語節要》
125	sillok\2nd_wba_101.xml	1399-01-19L0	《論語》
126	sillok\2nd_wba_101.xml	1399-01-19L0	《論語》
127	sillok\2nd_wba_101.xml	1399-03-13L0	《藏經》
128	sillok\2nd_wba_101.xml	1399-03-13L0	《楞嚴》
129	sillok\2nd_wba_101.xml	1399-06-27L0	《六典》
130	sillok\2nd_wba_101.xml	1399-06-27L0	《六典》
131	sillok\2nd_wba_101.xml	1399-07-10L0	《經濟六典》
132	sillok\2nd_wba_101.xml	1399-07-10L0	《易》
133	sillok\2nd_wba_101.xml	1399-08-26L0	《楞嚴》
134	sillok\2nd_wba_101.xml	1399-09-10L0	《經濟六典》
135	sillok\2nd_wba_101.xml	1399-10-19L0	《直解小學》
136	sillok\2nd_wba_101.xml	1399-10-19L0	《孝經》
137	sillok\2nd_wba_102.xml	1400-01-01L0	《通鑑撮要》
138	sillok\2nd_wba_102.xml	1400-01-10L0	《撮要》
139	sillok\2nd_wba_102.xml	1400-02-25L0	《撮要》
140	sillok\2nd_wba_102.xml	1400-04-06L0	《尙書》
141	sillok\2nd_wba_102.xml	1400-04-06L0	《五誥》
142	sillok\2nd_wba_102.xml	1400-04-06L0	《盤庚》
